problem,Z_hat,Z_true,error,abs_error,num_trained,time
grid10x10.f10.wrap,1087.018310546875,333.321335,753.696975546875,753.696975546875,3,58.97
grid10x10_f15_wrap,1535.765380859375,497.763483,1038.001897859375,1038.001897859375,3,35.37
pedigree18,-72.41543579101562,-78.13997650146484,5.724540710449219,5.724540710449219,3,41.46
rbm_20,28110.16015625,58.5306282043457,28051.629528045654,28051.629528045654,20,208.4
rbm_21,31474.513671875,63.146712,31411.366959875,31411.366959875,22,431.6
bn107,166.1861114501953,-1.151503,167.3376144501953,167.3376144501953,6,88.46
