problem,Z_hat,Z_true,error,abs_error,num_trained,time
grid10x10.f10.wrap,326.9765930175781,333.321335,-6.344741982421851,6.344741982421851,3,98.74
grid10x10_f15_wrap,454.4721984863281,497.763483,-43.29128451367188,43.29128451367188,3,65.9
pedigree18,-90.45027160644531,-78.13997650146484,-12.310295104980469,12.310295104980469,3,77.88
rbm_20,42.91886901855469,58.5306282043457,-15.611759185791016,15.611759185791016,20,362.11
rbm_21,49.750518798828125,63.146712,-13.396193201171876,13.396193201171876,22,687.96
bn107,-16.524234771728516,-1.151503,-15.372731771728516,15.372731771728516,8,203.68
